State,Industry,Employment,Median Hourly Wage ($),Mean Hourly Wage ($),Annual Mean Wage ($)
Alabama,Management,104280,46.12,53.13,110500.00
Alabama,Business,95760,31.57,36.77,76490.00
Alabama,CS,51990,40.91,44.44,92440.00
Alaska,Management,22610,49.54,56.74,118020.00
Alaska,Business,13430,37.13,40.60,84440.00
Alaska,CS,5050,42.52,44.28,92090.00
Arizona,Management,215700,47.17,55.56,115560.00
Arizona,Business,206480,32.15,37.20,77380.00
Arizona,CS,114420,44.62,47.31,98400.00
Arkansas,Management,84020,37.30,44.94,93480.00
Arkansas,Business,61520,29.63,33.75,70190.00
Arkansas,CS,24210,36.61,37.76,78540.00
California,Management,1273760,62.66,74.58,155120.00
California,Business,1190630,38.87,45.29,94210.00
California,CS,695480,61.87,69.07,143670.00
Colorado,Management,149320,63.54,71.78,149300.00
Colorado,Business,247150,38.41,42.47,88330.00
Colorado,CS,131570,51.33,56.07,116620.00
Connecticut,Management,139660,61.82,69.50,114560.00
Connecticut,Business,99590,38.88,43.30,90070.00
Connecticut,CS,48730,48.43,50.04,104080.00
Delaware,Management,22140,65.29,75.77,157600.00
Delaware,Business,34300,38.25,42.35,88080.00
Delaware,CS,17080,50.75,52.43,109040.00
District of Columbia,Management,98150,74.84,78.83,163960.00
District of Columbia,Business,114810,49.00,51.79,107730.00
District of Columbia,CS,48720,57.07,57.51,119610.00
Florida,Management,534030,19.62,26.91,55980.00
Florida,Business,654900,31.78,37.79,78600.00
Florida,CS,273100,41.26,45.29,94200.00
Georgia,Management,299410,49.44,60.76,126390.00
Georgia,Business,354300,35.17,39.92,83030.00
Georgia,CS,166930,47.76,48.44,100750.00
Hawaii,Management,37810,48.85,55.14,114690.00
Hawaii,Business,28800,33.62,36.96,76870.00
Hawaii,CS,13040,42.00,44.42,92390.00
Idaho,Management,53520,36.76,43.71,90910.00
Idaho,Business,39770,30.54,34.34,71420.00
Idaho,CS,18870,37.37,40.59,84430.00
Illinois,Management,514390,50.77,61.70,128340.00
Illinois,Business,391090,37.27,42.71,88850.00
Illinois,CS,187150,46.53,48.37,100600.00
Indiana,Management,156550,45.92,53.57,111420.00
Indiana,Business,145980,31.03,35.69,74230.00
Indiana,CS,63510,36.77,38.88,80870.00
Iowa,Management,98240,44.19,50.03,104060.00
Iowa,Business,85900,31.36,35.62,74080.00
Iowa,CS,38820,39.97,42.41,88210.00
Kansas,Management,70980,47.32,53.11,110480.00
Kansas,Business,84200,31.29,35.52,73880.00
Kansas,CS,40260,39.18,42.31,88000.00
Kentucky,Management,111880,40.37,49.06,102050.00
Kentucky,Business,83620,30.66,35.43,73700.00
Kentucky,CS,38610,36.11,38.69,80470.00
Louisiana,Management,107560,46.41,53.40,111070.00
Louisiana,Business,82060,29.64,33.47,69620.00
Louisiana,CS,22360,34.12,37.85,78720.00
Maine,Management,38270,46.31,51.75,107650.00
Maine,Business,32150,33.66,37.67,78360.00
Maine,CS,13710,37.50,39.72,82620.00
Maryland,Management,221760,56.66,62.83,130690.00
Maryland,Business,215440,40.32,45.20,94020.00
Maryland,CS,141700,53.09,56.49,117500.00
Massachusetts,Management,351440,62.90,73.54,152970.00
Massachusetts,Business,261370,40.05,46.56,96830.00
Massachusetts,CS,154790,52.52,56.98,118510.00
Michigan,Management,268190,49.38,57.21,119010.00
Michigan,Business,255590,34.98,39.15,81430.00
Michigan,CS,118860,40.88,43.46,90400.00
Minnesota,Management,193760,50.58,59.92,124630.00
Minnesota,Business,201940,37.45,41.62,86570.00
Minnesota,CS,99250,47.89,48.49,100850.00
Mississippi,Management,59950,36.20,42.91,89250.00
Mississippi,Business,41570,28.36,32.39,67380.00
Mississippi,CS,13770,33.20,36.46,75840.00
Missouri,Management,160530,45.94,53.51,111290.00
Missouri,Business,175770,31.66,37.56,78130.00
Missouri,CS,87450,39.39,42.49,88390.00
Montana,Management,23820,40.00,47.95,99730.00
Montana,Business,26890,30.38,34.73,72240.00
Montana,CS,8790,33.47,40.05,83300.00
Nebraska,Management,68440,46.62,52.33,108840.00
Nebraska,Business,54590,30.94,34.89,72570.00
Nebraska,CS,32210,39.83,41.35,86000.00
Nevada,Management,109840,40.65,52.97,110190.00
Nevada,Business,63600,31.40,37.93,78900.00
Nevada,CS,25750,37.50,42.14,87660.00
New Hampshire,Management,45350,53.45,63.57,132220.00
New Hampshire,Business,43020,36.31,39.98,83170.00
New Hampshire,CS,24040,48.07,49.59,103150.00
New Jersey,Management,277450,74.29,81.86,170260.00
New Jersey,Business,273070,42.92,49.17,102270.00
New Jersey,CS,158360,51.19,54.98,114360.00
New Mexico,Management,43700,46.52,53.41,111100.00
New Mexico,Business,42480,31.64,36.19,75260.00
New Mexico,CS,20530,39.80,45.02,93650.00
New York,Management,567480,67.07,81.80,170150.00
New York,Business,703670,45.22,51.51,107140.00
New York,CS,284680,51.14,56.33,117170.00
North Carolina,Management,285550,50.11,60.89,126640.00
North Carolina,Business,302740,35.83,39.77,82730.00
North Carolina,CS,172210,49.22,50.25,104530.00
North Dakota,Management,22400,45.23,50.42,104870.00
North Dakota,Business,18760,31.57,35.28,73370.00
North Dakota,CS,7720,35.19,36.97,76900.00
Ohio,Management,331690,47.32,54.92,114240.00
Ohio,Business,334250,34.32,37.43,77860.00
Ohio,CS,156640,41.61,44.26,92050.00
Oklahoma,Management,91650,40.60,49.79,103560.00
Oklahoma,Business,89330,31.26,35.40,73630.00
Oklahoma,CS,35500,37.67,40.45,84130.00
Oregon,Management,134780,47.47,54.54,113440.00
Oregon,Business,124100,36.21,39.02,81170.00
Oregon,CS,62170,46.65,48.22,100300.00
Pennsylvania,Management,364480,51.50,60.80,126450.00
Pennsylvania,Business,341820,34.63,38.60,80280.00
Pennsylvania,CS,173700,41.43,45.55,94730.00
Puerto Rico,Management,40290,32.49,40.33,83890.00
Puerto Rico,Business,50400,18.30,21.14,43960.00
Puerto Rico,CS,11970,22.57,24.85,51700.00
Rhode Island,Management,21670,61.15,68.37,142210.00
Rhode Island,Business,37440,38.57,42.56,88530.00
Rhode Island,CS,16210,48.77,53.08,110400.00
South Carolina,Management,125270,46.48,52.81,109850.00
South Carolina,Business,101200,31.08,35.48,73790.00
South Carolina,CS,48550,39.44,42.19,87740.00
South Dakota,Management,14130,48.27,56.41,117330.00
South Dakota,Business,23610,31.37,35.10,73000.00
South Dakota,CS,9100,35.55,39.33,81810.00
Tennessee,Management,198190,48.61,57.53,119660.00
Tennessee,Business,157050,30.13,33.81,70320.00
Tennessee,CS,78340,37.73,41.05,85390.00
Texas,Management,1012280,48.65,57.47,119540.00
Texas,Business,776520,35.10,38.60,80280.00
Texas,CS,444670,45.46,47.22,98210.00
Utah,Management,127280,45.87,53.44,111160.00
Utah,Business,110720,30.90,35.44,73720.00
Utah,CS,67240,40.99,45.60,94850.00
Vermont,Management,23360,42.28,50.45,104930.00
Vermont,Business,15950,33.00,37.92,78870.00
Vermont,CS,7670,38.66,42.52,88440.00
Virginia,Management,227250,61.90,69.20,143930.00
Virginia,Business,360230,39.29,44.59,92750.00
Virginia,CS,241590,52.84,56.78,118100.00
Washington,Management,180220,63.92,72.73,151270.00
Washington,Business,269180,39.25,44.68,92930.00
Washington,CS,204330,61.64,62.44,129870.00
West Virginia,Management,38930,38.84,47.15,98080.00
West Virginia,Business,28850,29.58,33.37,69410.00
West Virginia,CS,11190,33.33,37.57,78140.00
Wisconsin,Management,122810,51.35,60.10,125010.00
Wisconsin,Business,169420,32.48,36.82,76580.00
Wisconsin,CS,80170,39.50,42.67,88750.00
Wyoming,Management,14820,42.55,48.91,101730.00
Wyoming,Business,11110,31.83,35.51,73870.00
Wyoming,CS,3150,33.36,37.68,78370.00